Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,block1_conv1,256,28387585,234893,3,12771.7,4.19049e+08,3416.07,6,0.672674,6,1,6,110,54,1,1,150528,1728,3.62559e+11,85162752,312.909,47.6928,0.3795,3055.08,85162752, 19094427, 19094427, 150528, 4.46008, 85162752, 1161, 1161, 1728, 73352.9, 85162752, 85162752, 3154176, 3154176, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 3, 4.5
vgg19,block1_conv2,256,28387586,5.64253e+06,64,11342.4,4.19049e+08,3423.64,128,21.1892,128,1,128,2306,54,1,1,3211264,36864,3.21984e+11,1816805376,312.909,47.6928,7.9557,3055.08,1816805376, 601474176, 601474176, 3211264, 3.02059, 1816805376, 36297, 36297, 36864, 50053.9, 1816805376, 1816805376, 3154176, 3154176, 1, 1, 2, 1, 1, 1, 1, 9, 9, 9, 64, 3.04762
vgg19,block2_conv1,256,13939202,2.78012e+06,64,23020.6,4.19049e+08,3423.64,128,21.3819,128,1,128,2306,54,1,1,802816,73728,3.20889e+11,892108800,312.909,47.6928,7.9557,3055.08,892108800, 297973440, 297973440, 802816, 2.99392, 892108800, 72585, 72585, 73728, 12290.5, 892108800, 892108800, 1548800, 1548800, 1, 1, 2, 1, 1, 1, 1, 9, 9, 9, 64, 3.04762
vgg19,block2_conv2,256,13939203,5.57568e+06,128,22956.8,4.19049e+08,3431.59,256,43.1031,256,1,256,4610,54,1,1,1605632,147456,3.2e+11,1784217600,312.909,47.6928,15.9045,3055.08,1784217600, 600676608, 600676608, 1605632, 2.97035, 1784217600, 146313, 146313, 147456, 12194.5, 1784217600, 1784217600, 1548800, 1548800, 1, 1, 3, 1, 1, 1, 1, 9, 9, 9, 128, 3.02362
vgg19,block3_conv1,256,6718467,2.71178e+06,128,47201.5,4.19049e+08,3431.59,256,43.9014,256,1,256,4610,54,1,1,401408,294912,3.17122e+11,859963392,312.909,47.6928,15.9045,3055.08,859963392, 294657408, 294657408, 401408, 2.91852, 859963392, 292617, 292617, 294912, 2938.87, 859963392, 859963392, 746496, 746496, 1, 1, 3, 1, 1, 1, 1, 9, 9, 9, 128, 3.02362
vgg19,block3_conv2,256,6718469,5.44204e+06,256,47041.2,4.1905e+08,3447.49,512,88.4942,512,1,512,9218,54,1,1,802816,589824,3.16045e+11,1719926784,312.909,47.6928,31.8021,3055.08,1719926784, 593955072, 593955072, 802816, 2.89572, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 746496, 1, 1, 5, 1, 1, 1, 1, 9, 9, 9, 256, 3
vgg19,block3_conv3,256,6718469,5.44204e+06,256,47041.2,4.1905e+08,3447.49,512,88.4942,512,1,512,9218,54,1,1,802816,589824,3.16045e+11,1719926784,312.909,47.6928,31.8021,3055.08,1719926784, 593955072, 593955072, 802816, 2.89572, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 746496, 1, 1, 5, 1, 1, 1, 1, 9, 9, 9, 256, 3
vgg19,block3_conv4,256,6718469,5.44204e+06,256,47041.2,4.1905e+08,3447.49,512,88.4942,512,1,512,9218,54,1,1,802816,589824,3.16045e+11,1719926784,312.909,47.6928,31.8021,3055.08,1719926784, 593955072, 593955072, 802816, 2.89572, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 746496, 1, 1, 5, 1, 1, 1, 1, 9, 9, 9, 256, 3
vgg19,block4_conv1,256,3115013,2.57582e+06,256,99385.6,4.1905e+08,3447.49,512,91.8982,512,1,512,9218,54,1,1,200704,1179648,3.09587e+11,797442048,312.909,47.6928,31.8021,3055.08,797442048, 285083904, 285083904, 200704, 2.79722, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 346112, 1, 1, 5, 1, 1, 1, 1, 9, 9, 9, 256, 3
vgg19,block4_conv2,256,6230021,1.36441e+07,256,18762.7,4.1905e+08,3447.49,512,384,512,1,512,9218,54,1,1,401408,2359296,1.16892e+11,1594884096,312.909,47.6928,31.8021,3055.08,1594884096, 1593706752, 1593706752, 401408, 1.00074, 1594884096, 798621696, 798621696, 2359296, 1.99705, 1594884096, 1594884096, 346112, 692224, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,block4_conv3,256,6230021,1.36441e+07,256,18762.7,4.1905e+08,3447.49,512,384,512,1,512,9218,54,1,1,401408,2359296,1.16892e+11,1594884096,312.909,47.6928,31.8021,3055.08,1594884096, 1593706752, 1593706752, 401408, 1.00074, 1594884096, 798621696, 798621696, 2359296, 1.99705, 1594884096, 1594884096, 346112, 692224, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,block4_conv4,256,6230021,1.36441e+07,256,18762.7,4.1905e+08,3447.49,512,384,512,1,512,9218,54,1,1,401408,2359296,1.16892e+11,1594884096,312.909,47.6928,31.8021,3055.08,1594884096, 1593706752, 1593706752, 401408, 1.00074, 1594884096, 798621696, 798621696, 2359296, 1.99705, 1594884096, 1594884096, 346112, 692224, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,block5_conv1,256,1327109,2.91446e+06,255.999,87837.6,4.1905e+08,3447.49,512,384.002,512,1,512,9218,54,1,1,100352,2359296,1.1657e+11,339738624,312.909,47.6928,31.8021,3055.08,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,block5_conv2,256,1327109,2.91446e+06,255.999,87837.6,4.1905e+08,3447.49,512,384.002,512,1,512,9218,54,1,1,100352,2359296,1.1657e+11,339738624,312.909,47.6928,31.8021,3055.08,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,block5_conv3,256,1327109,2.91446e+06,255.999,87837.6,4.1905e+08,3447.49,512,384.002,512,1,512,9218,54,1,1,100352,2359296,1.1657e+11,339738624,312.909,47.6928,31.8021,3055.08,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,block5_conv4,256,1327109,2.91446e+06,255.999,87837.6,4.1905e+08,3447.49,512,384.002,512,1,512,9218,54,1,1,100352,2359296,1.1657e+11,339738624,312.909,47.6928,31.8021,3055.08,339738624, 338561280, 338561280, 100352, 1.00348, 339738624, 171048960, 171048960, 2359296, 1.98621, 339738624, 339738624, 73728, 147456, 1, 3, 5, 4, 1, 1, 1, 9, 9, 9, 256, 0.5
vgg19,fc1,256,401409,1.55471e+06,255.999,164661,4.19047e+08,3376.83,512,509.388,512,1,512,1026,6,1,1,25088,102760448,6.60962e+10,102760448,312.909,5.2992,3.5397,3055.08,102760448, 101712128, 101712128, 25088, 1.01031, 102760448, 102760448, 102760448, 102760448, 1, 102760448, 102760448, 4096, 401408, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 0.5
vgg19,fc2,256,65537,249737,255.996,1.02506e+06,4.19047e+08,3376.83,512,496.004,512,1,512,1026,6,1,1,4096,16777216,6.71796e+10,16777216,312.909,5.2992,3.5397,3055.08,16777216, 15728896, 15728896, 4096, 1.06665, 16777216, 16777216, 16777216, 16777216, 1, 16777216, 16777216, 4096, 65536, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 256, 0.5
