Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,block1_conv1,256,391609,51365.9,217.469,4.23372e+06,4.19053e+08,3558.52,27,24.1613,27,1,27,4538,198,1,1,150528,1728,1.65796e+12,85162752,312.909,174.874,15.6561,3055.08,85162752, 1330668, 1330668, 150528, 64, 85162752, 1055088, 1055088, 1728, 80.7163, 85162752, 85162752, 3154176, 9462528, 1, 1, 1, 1, 1, 2, 1, 49, 49, 49, 222, 85
vgg19,block1_conv2,256,8354305,1.23669e+06,217.469,175848,4.19053e+08,3558.52,27,24.1632,27,1,27,4538,198,1,1,3211264,36864,1.46909e+12,1816805376,312.909,174.874,15.6561,3055.08,1816805376, 28387584, 28387584, 3211264, 64, 1816805376, 24455664, 24455664, 36864, 74.2898, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 1, 1, 1, 2, 1, 49, 49, 49, 222, 85
vgg19,block2_conv1,256,5519361,3.35563e+06,161.633,48167.7,4.19053e+08,3558.52,27,17.9591,27,1,27,4538,198,1,1,802816,73728,2.65855e+11,892108800,312.909,174.874,15.6561,3055.08,892108800, 6969600, 6969600, 802816, 128, 892108800, 16188624, 16188624, 73728, 55.1071, 892108800, 892108800, 1548800, 99123200, 1, 1, 1, 1, 1, 2, 1, 49, 49, 49, 165, 85
vgg19,block2_conv2,256,11038721,2.44223e+06,161.633,66182.3,4.19053e+08,3558.52,27,17.9592,27,1,27,4538,198,1,1,1605632,147456,7.30568e+11,1784217600,312.909,174.874,15.6561,3055.08,1784217600, 13939200, 13939200, 1605632, 128, 1784217600, 32408784, 32408784, 147456, 55.0535, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 1, 1, 1, 2, 1, 49, 49, 49, 165, 85
vgg19,block3_conv1,256,5419009,3.27008e+06,158.694,48529.1,4.19053e+08,3553.18,17,17.6326,17,1,17,2988,198,1,1,401408,294912,2.6298e+11,859963392,312.909,174.874,10.3086,3055.08,859963392, 3359232, 3359232, 401408, 256, 859963392, 15917616, 15917616, 294912, 54.0259, 859963392, 859963392, 746496, 95551488, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 162, 54
vgg19,block3_conv2,256,10838017,2.3256e+06,158.694,68237.8,4.19053e+08,3553.18,17,17.6326,17,1,17,2988,198,1,1,802816,589824,7.39562e+11,1719926784,312.909,174.874,10.3086,3055.08,1719926784, 6718464, 6718464, 802816, 256, 1719926784, 31842864, 31842864, 589824, 54.0129, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 162, 54
vgg19,block3_conv3,256,10838017,3.66221e+06,158.694,43332.8,4.19053e+08,3553.18,17,17.6326,17,1,17,2988,198,1,1,802816,589824,4.69642e+11,1719926784,312.909,174.874,10.3086,3055.08,1719926784, 6718464, 6718464, 802816, 256, 1719926784, 31842864, 31842864, 589824, 54.0129, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 162, 54
vgg19,block3_conv4,256,10838017,3.66221e+06,158.694,43332.8,4.19053e+08,3553.18,17,17.6326,17,1,17,2988,198,1,1,802816,589824,4.69642e+11,1719926784,312.909,174.874,10.3086,3055.08,1719926784, 6718464, 6718464, 802816, 256, 1719926784, 31842864, 31842864, 589824, 54.0129, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 162, 54
vgg19,block4_conv1,256,10436609,3.19631e+06,76.4082,23905.1,4.19053e+08,3548.35,8,8.48977,8,1,8,1588,198,1,1,200704,1179648,2.49488e+11,797442048,312.909,174.874,5.4786,3055.08,797442048, 1557504, 1557504, 200704, 512, 797442048, 30667248, 30667248, 1179648, 26.0031, 797442048, 797442048, 346112, 88604672, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 78, 26
vgg19,block4_conv2,256,20873217,2.29118e+06,76.4082,33348.8,4.19053e+08,3548.35,8,8.48979,8,1,8,1588,198,1,1,401408,2359296,6.96096e+11,1594884096,312.909,174.874,5.4786,3055.08,1594884096, 3115008, 3115008, 401408, 512, 1594884096, 61338096, 61338096, 2359296, 26.0015, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 78, 26
vgg19,block4_conv3,256,20873217,3.53616e+06,76.4082,21607.7,4.19053e+08,3548.35,8,8.48979,8,1,8,1588,198,1,1,401408,2359296,4.51021e+11,1594884096,312.909,174.874,5.4786,3055.08,1594884096, 3115008, 3115008, 401408, 512, 1594884096, 61338096, 61338096, 2359296, 26.0015, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 78, 26
vgg19,block4_conv4,256,20873217,3.53616e+06,76.4082,21607.7,4.19053e+08,3548.35,8,8.48979,8,1,8,1588,198,1,1,401408,2359296,4.51021e+11,1594884096,312.909,174.874,5.4786,3055.08,1594884096, 3115008, 3115008, 401408, 512, 1594884096, 61338096, 61338096, 2359296, 26.0015, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 78, 26
vgg19,block5_conv1,256,9633793,2.78608e+06,35.2653,12657.7,4.19053e+08,3545.93,5,3.95655,5,1,5,888,198,1,1,100352,2359296,1.21942e+11,339738624,312.909,174.874,3.0636,3055.08,339738624, 663552, 663552, 100352, 512, 339738624, 28309968, 28309968, 2359296, 12.0007, 339738624, 339738624, 73728, 37748736, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 36, 12
vgg19,block5_conv2,256,9633793,832415,35.2653,42365.1,4.19053e+08,3545.93,5,3.95655,5,1,5,888,198,1,1,100352,2359296,4.08136e+11,339738624,312.909,174.874,3.0636,3055.08,339738624, 663552, 663552, 100352, 512, 339738624, 28309968, 28309968, 2359296, 12.0007, 339738624, 339738624, 73728, 37748736, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 36, 12
vgg19,block5_conv3,256,9633793,832415,35.2653,42365.1,4.19053e+08,3545.93,5,3.95655,5,1,5,888,198,1,1,100352,2359296,4.08136e+11,339738624,312.909,174.874,3.0636,3055.08,339738624, 663552, 663552, 100352, 512, 339738624, 28309968, 28309968, 2359296, 12.0007, 339738624, 339738624, 73728, 37748736, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 36, 12
vgg19,block5_conv4,256,9633793,832415,35.2653,42365.1,4.19053e+08,3545.93,5,3.95655,5,1,5,888,198,1,1,100352,2359296,4.08136e+11,339738624,312.909,174.874,3.0636,3055.08,339738624, 663552, 663552, 100352, 512, 339738624, 28309968, 28309968, 2359296, 12.0007, 339738624, 339738624, 73728, 37748736, 1, 1, 1, 1, 1, 1, 1, 49, 49, 49, 36, 12
