Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,block1_conv1,256,383619,217357,221.998,1.02136e+06,4.19049e+08,3431.07,223,24.934,223,1,223,4458,54,1,1,150528,1728,3.91811e+11,85162752,312.909,47.6928,15.3801,3055.08,85162752, 9549966, 9549966, 150528, 8.9176, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 9462528, 1, 1, 3, 1, 1, 1, 1, 9, 9, 9, 222, 8.95964
vgg19,block1_conv2,256,8183811,4.64081e+06,222,47836.4,4.19049e+08,3431.07,223,25.0022,223,1,223,4458,54,1,1,3211264,36864,3.91484e+11,1816805376,312.909,47.6928,15.3801,3055.08,1816805376, 204562574, 204562574, 3211264, 8.88142, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 3, 1, 1, 1, 1, 9, 9, 9, 222, 8.95964
vgg19,block2_conv1,256,8110081,2.28229e+06,110,48197.1,4.19049e+08,3423.34,111,12.5631,111,1,111,2218,54,1,1,802816,73728,3.90883e+11,892108800,312.909,47.6928,7.6521,3055.08,892108800, 101801310, 101801310, 802816, 8.76323, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 99123200, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 110, 8.91892
vgg19,block2_conv2,256,16220161,4.56478e+06,110,24097.5,4.19049e+08,3423.34,111,12.5649,111,1,111,2218,54,1,1,1605632,147456,3.90866e+11,1784217600,312.909,47.6928,7.6521,3055.08,1784217600, 203644254, 203644254, 1605632, 8.76144, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 110, 8.91892
vgg19,block3_conv1,256,15925249,2.2133e+06,54,24398,4.19049e+08,3419.47,55,6.35406,55,1,55,1098,54,1,1,401408,294912,3.88544e+11,859963392,312.909,47.6928,3.7881,3055.08,859963392, 100883686, 100883686, 401408, 8.52431, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 95551488, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 54, 8.83636
vgg19,block3_conv2,256,31850497,4.42679e+06,54,12198.4,4.19049e+08,3419.47,55,6.35502,55,1,55,1098,54,1,1,802816,589824,3.88527e+11,1719926784,312.909,47.6928,3.7881,3055.08,1719926784, 201809126, 201809126, 802816, 8.52254, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 54, 8.83636
vgg19,block3_conv3,256,31850497,4.42679e+06,54,12198.4,4.19049e+08,3419.47,55,6.35502,55,1,55,1098,54,1,1,802816,589824,3.88527e+11,1719926784,312.909,47.6928,3.7881,3055.08,1719926784, 201809126, 201809126, 802816, 8.52254, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 54, 8.83636
vgg19,block3_conv4,256,31850497,4.42679e+06,54,12198.4,4.19049e+08,3419.47,55,6.35502,55,1,55,1098,54,1,1,802816,589824,3.88527e+11,1719926784,312.909,47.6928,3.7881,3055.08,1719926784, 201809126, 201809126, 802816, 8.52254, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 54, 8.83636
vgg19,block4_conv1,256,30670849,2.08543e+06,26,12467.5,4.19049e+08,3417.54,27,3.26817,27,1,27,538,54,1,1,200704,1179648,3.82388e+11,797442048,312.909,47.6928,1.8561,3055.08,797442048, 99049194, 99049194, 200704, 8.05097, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 88604672, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 26, 8.66667
vgg19,block4_conv2,256,61341697,4.17105e+06,26,6233.45,4.19049e+08,3417.54,27,3.2687,27,1,27,538,54,1,1,401408,2359296,3.8237e+11,1594884096,312.909,47.6928,1.8561,3055.08,1594884096, 198139626, 198139626, 401408, 8.04929, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 26, 8.66667
