Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,block1_conv1,256,376321,164260,226.303,1.37772e+06,4.19049e+08,3424.14,96,76.468,96,1,96,2450,54,1,1,150528,1728,5.18464e+11,85162752,312.909,47.6928,8.4525,3055.08,85162752, 28759232, 28759232, 150528, 2.96123, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 9462528, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 253.714, 2.25
vgg19,block1_conv2,256,8028161,3.64876e+06,226.304,62022.2,4.19049e+08,3424.14,96,76.4815,96,1,96,2450,54,1,1,3211264,36864,4.97924e+11,1816805376,312.909,47.6928,8.4525,3055.08,1816805376, 613953216, 613953216, 3211264, 2.95919, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 201867264, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 253.714, 2.25
vgg19,block2_conv1,256,4587521,4.77084e+06,194.464,40761,4.19049e+08,3424.14,96,66.085,96,1,96,2450,54,1,1,802816,73728,1.86992e+11,892108800,312.909,47.6928,8.4525,3055.08,892108800, 303061440, 303061440, 802816, 2.94366, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 99123200, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 220, 2.25
vgg19,block2_conv2,256,9175041,4.94723e+06,194.464,39307.7,4.19049e+08,3424.14,96,66.0863,96,1,96,2450,54,1,1,1605632,147456,3.6065e+11,1784217600,312.909,47.6928,8.4525,3055.08,1784217600, 606165440, 606165440, 1605632, 2.94345, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 198246400, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 220, 2.25
vgg19,block3_conv1,256,4587521,4.63572e+06,187.457,40437.5,4.19049e+08,3424.14,96,62.745,96,1,96,2450,54,1,1,401408,294912,1.85508e+11,859963392,312.909,47.6928,8.4525,3055.08,859963392, 287485888, 287485888, 401408, 2.99132, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 95551488, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 216, 2.25
vgg19,block3_conv2,256,9175041,4.72824e+06,187.457,39646.3,4.19049e+08,3424.14,96,62.7475,96,1,96,2450,54,1,1,802816,589824,3.63756e+11,1719926784,312.909,47.6928,8.4525,3055.08,1719926784, 575057856, 575057856, 802816, 2.99088, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 216, 2.25
vgg19,block3_conv3,256,9175041,6.16863e+06,187.457,30388.8,4.19049e+08,3424.14,96,62.7475,96,1,96,2450,54,1,1,802816,589824,2.78818e+11,1719926784,312.909,47.6928,8.4525,3055.08,1719926784, 575057856, 575057856, 802816, 2.99088, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 216, 2.25
vgg19,block3_conv4,256,9175041,6.16863e+06,187.457,30388.8,4.19049e+08,3424.14,96,62.7475,96,1,96,2450,54,1,1,802816,589824,2.78818e+11,1719926784,312.909,47.6928,8.4525,3055.08,1719926784, 575057856, 575057856, 802816, 2.99088, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 191102976, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 216, 2.25
vgg19,block4_conv1,256,5242881,4.47209e+06,152.1,34010.9,4.19049e+08,3422.57,78,53.7682,78,1,78,1994,54,1,1,200704,1179648,1.78315e+11,797442048,312.909,47.6928,6.8793,3055.08,797442048, 280618764, 280618764, 200704, 2.84173, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 88604672, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 208, 0.75
vgg19,block4_conv2,256,10485761,4.52469e+06,152.1,33615.6,4.19049e+08,3422.57,78,53.7716,78,1,78,1994,54,1,1,401408,2359296,3.52485e+11,1594884096,312.909,47.6928,6.8793,3055.08,1594884096, 561374988, 561374988, 401408, 2.84103, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 177209344, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 208, 0.75
