Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
vgg19,block1_conv1,256,7885441,44808.7,10.8,241025,4.19049e+08,3416.64,13,0.90827,13,1,13,278,54,1,1,150528,1728,1.90059e+12,85162752,312.909,47.6928,0.9591,3055.08,85162752, 7160427, 7160427, 150528, 11.8935, 85162752, 1728, 1728, 1728, 49284, 85162752, 85162752, 3154176, 3154176, 1, 1, 1, 1, 1, 1, 1, 10, 10, 10, 12, 12
vgg19,block1_conv2,256,8673987,815797,209.454,256748,4.19049e+08,3435.59,261,17.615,261,1,261,5768,54,1,1,3211264,36864,2.22703e+12,1816805376,312.909,47.6928,19.8996,3055.08,1816805376, 152755776, 152755776, 3211264, 11.8935, 1816805376, 36864, 36864, 36864, 49284, 1816805376, 1816805376, 3154176, 3154176, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block2_conv1,256,4259203,3.20171e+06,209.454,65419.6,4.19049e+08,3435.59,261,17.785,261,1,261,5768,54,1,1,802816,73728,2.78635e+11,892108800,312.909,47.6928,19.8996,3055.08,892108800, 75676224, 75676224, 802816, 11.7885, 892108800, 73728, 73728, 73728, 12100, 892108800, 892108800, 1548800, 1548800, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block2_conv2,256,8518403,2.07742e+06,209.454,100824,4.19049e+08,3435.59,261,17.7871,261,1,261,5768,54,1,1,1605632,147456,8.58863e+11,1784217600,312.909,47.6928,19.8996,3055.08,1784217600, 151370304, 151370304, 1605632, 11.7871, 1784217600, 147456, 147456, 147456, 12100, 1784217600, 1784217600, 1548800, 3097600, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block3_conv1,256,4105731,3.14481e+06,209.454,66603.1,4.19049e+08,3435.59,261,18.164,261,1,261,5768,54,1,1,401408,294912,2.73454e+11,859963392,312.909,47.6928,19.8996,3055.08,859963392, 74281536, 74281536, 401408, 11.5771, 859963392, 294912, 294912, 294912, 2916, 859963392, 859963392, 746496, 1492992, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block3_conv2,256,8211459,2.01529e+06,209.454,103933,4.19049e+08,3435.59,261,18.1684,261,1,261,5768,54,1,1,802816,589824,8.53438e+11,1719926784,312.909,47.6928,19.8996,3055.08,1719926784, 148599360, 148599360, 802816, 11.5743, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block3_conv3,256,8211459,3.37328e+06,209.454,62092.2,4.19049e+08,3435.59,261,18.1684,261,1,261,5768,54,1,1,802816,589824,5.09868e+11,1719926784,312.909,47.6928,19.8996,3055.08,1719926784, 148599360, 148599360, 802816, 11.5743, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block3_conv4,256,8211459,3.37328e+06,209.454,62092.2,4.19049e+08,3435.59,261,18.1684,261,1,261,5768,54,1,1,802816,589824,5.09868e+11,1719926784,312.909,47.6928,19.8996,3055.08,1719926784, 148599360, 148599360, 802816, 11.5743, 1719926784, 589824, 589824, 589824, 2916, 1719926784, 1719926784, 746496, 2985984, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block4_conv1,256,3807235,3.03886e+06,209.454,68925.4,4.19049e+08,3435.59,261,19.0878,261,1,261,5768,54,1,1,200704,1179648,2.62415e+11,797442048,312.909,47.6928,19.8996,3055.08,797442048, 71492160, 71492160, 200704, 11.1543, 797442048, 1179648, 1179648, 1179648, 676, 797442048, 797442048, 346112, 1384448, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block4_conv2,256,7614467,1.9067e+06,209.454,109852,4.19049e+08,3435.59,261,19.0974,261,1,261,5768,54,1,1,401408,2359296,8.36462e+11,1594884096,312.909,47.6928,19.8996,3055.08,1594884096, 143057472, 143057472, 401408, 11.1486, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block4_conv3,256,7614467,3.16734e+06,209.454,66129.5,4.19049e+08,3435.59,261,19.0974,261,1,261,5768,54,1,1,401408,2359296,5.03541e+11,1594884096,312.909,47.6928,19.8996,3055.08,1594884096, 143057472, 143057472, 401408, 11.1486, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block4_conv4,256,7614467,3.16734e+06,209.454,66129.5,4.19049e+08,3435.59,261,19.0974,261,1,261,5768,54,1,1,401408,2359296,5.03541e+11,1594884096,312.909,47.6928,19.8996,3055.08,1594884096, 143057472, 143057472, 401408, 11.1486, 1594884096, 2359296, 2359296, 2359296, 676, 1594884096, 1594884096, 346112, 2768896, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block5_conv1,256,1622019,2.68546e+06,209.454,77995.7,4.19049e+08,3435.59,261,21.7731,261,1,261,5768,54,1,1,100352,2359296,1.2651e+11,339738624,312.909,47.6928,19.8996,3055.08,339738624, 32956992, 32956992, 100352, 10.3085, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block5_conv2,256,1622019,702963,209.454,297959,4.19049e+08,3435.59,261,21.7731,261,1,261,5768,54,1,1,100352,2359296,4.83295e+11,339738624,312.909,47.6928,19.8996,3055.08,339738624, 32956992, 32956992, 100352, 10.3085, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block5_conv3,256,1622019,702963,209.454,297959,4.19049e+08,3435.59,261,21.7731,261,1,261,5768,54,1,1,100352,2359296,4.83295e+11,339738624,312.909,47.6928,19.8996,3055.08,339738624, 32956992, 32956992, 100352, 10.3085, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,block5_conv4,256,1622019,702963,209.454,297959,4.19049e+08,3435.59,261,21.7731,261,1,261,5768,54,1,1,100352,2359296,4.83295e+11,339738624,312.909,47.6928,19.8996,3055.08,339738624, 32956992, 32956992, 100352, 10.3085, 339738624, 2359296, 2359296, 2359296, 144, 339738624, 339738624, 73728, 589824, 1, 1, 3, 1, 1, 1, 1, 11, 11, 11, 256, 12
vgg19,fc1,256,802817,1.5351e+06,128,83382.2,4.19047e+08,3375.53,160,159.918,160,1,160,648,6,1,1,25088,102760448,6.69406e+10,102760448,312.909,5.2992,2.2356,3055.08,102760448, 25624640, 25624640, 25088, 4.01022, 102760448, 102760448, 102760448, 102760448, 1, 102760448, 102760448, 4096, 1605632, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 0.8
vgg19,fc2,256,131073,370870,127.999,345132,4.19047e+08,3375.53,160,159.5,160,1,160,648,6,1,1,4096,16777216,4.52375e+10,16777216,312.909,5.2992,2.2356,3055.08,16777216, 4128832, 4128832, 4096, 4.06343, 16777216, 16777216, 16777216, 16777216, 1, 16777216, 16777216, 4096, 262144, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 0.8
vgg19,predictions,256,32001,73679.5,127.996,1.7372e+06,4.19047e+08,3375.53,160,159.502,160,1,160,648,6,1,1,4096,4096000,5.55922e+10,4096000,312.909,5.2992,2.2356,3055.08,4096000, 1008064, 1008064, 4096, 4.06323, 4096000, 4096000, 4096000, 4096000, 1, 4096000, 4096000, 1000, 64000, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 0.8
